Country,Country-Code,ISO-Code,FAOCou-Code,ContinentOld,Income,Domain,ContinentNew,MagnetCou-Code,MagnetRegion,Carbon region,ContinentValidation
Algeria,a0,DZA,4,Africa,UM,Trp,Africa,xnf,MENA,Northern Africa,Africa
Angola,a1,AGO,7,Africa,UM,Trp,Africa,xac,SSA,Western and Central Africa,Africa
Benin,a2,BEN,53,Africa,L,Trp,Africa,ben,SSA,Western and Central Africa,Africa
Botswana,a3,BWA,20,Africa,UM,Trp,Africa,BWA,SSA,Western and Central Africa,Africa
Burkina Faso,a4,BFA,233,Africa,L,Trp,Africa,bfa,SSA,Western and Central Africa,Africa
Burundi,a5,BDI,29,Africa,L,Trp,Africa,xec,SSA,Western and Central Africa,Africa
Cameroon,a6,CMR,32,Africa,LM,Trp,Africa,CMR,SSA,Western and Central Africa,Africa
Cape Verde,a7,CPV,35,Africa,LM,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Central African Republic,a8,CAF,37,Africa,L,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Chad,a9,TCD,39,Africa,L,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
"Congo, Republic of",b0,COG,46,Africa,LM,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Côte d'Ivoire,b1,CIV,107,Africa,LM,Trp,Africa,civ,SSA,Western and Central Africa,Africa
Djibouti,b2,DJI,72,Africa,LM,Trp,Africa,xec,SSA,Eastern and Southern Africa,Africa
Egypt,b3,EGY,59,Africa,LM,Trp,Africa,EGY,MENA,Northern Africa,Africa
Equatorial Guinea,b4,GNQ,61,Africa,H,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Ethiopia,b5,ETH,238,Africa,L,Trp,Africa,ETH,SSA,Eastern and Southern Africa,Africa
Gabon,b6,GAB,74,Africa,UM,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Gambia,b7,GMB,75,Africa,L,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Ghana,b8,GHA,81,Africa,LM,Trp,Africa,GHA,SSA,Western and Central Africa,Africa
Guinea,b9,GIN,90,Africa,L,Trp,Africa,gin,SSA,Western and Central Africa,Africa
Guinea-Bissau,c0,GNB,175,Africa,L,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Kenya,c1,KEN,114,Africa,L,Trp,Africa,KEN,SSA,Eastern and Southern Africa,Africa
Lesotho,c2,LSO,122,Africa,LM,SubTrp,Africa,xsc,SSA,Eastern and Southern Africa,Africa
Liberia,c3,LBR,123,Africa,L,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Libyan Arab Jamahiriya,c4,LBY,124,Africa,UM,Trp,Africa,xnf,MENA,Northern Africa,Africa
Madagascar,c5,MDG,129,Africa,L,Trp,Africa,MDG,SSA,Eastern and Southern Africa,Africa
Malawi,c6,MWI,130,Africa,L,Trp,Africa,MWI,SSA,Eastern and Southern Africa,Africa
Mali,c7,MLI,133,Africa,L,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Mauritania,c8,MRT,136,Africa,LM,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Mauritius,c9,MUS,137,Africa,UM,Trp,Africa,MUS,SSA,Eastern and Southern Africa,Africa
Morocco,d0,MAR,143,Africa,LM,SubTrp,Africa,MAR,MENA,Northern Africa,Africa
Mozambique,d1,MOZ,144,Africa,L,Trp,Africa,MOZ,SSA,Eastern and Southern Africa,Africa
Niger,d2,NER,158,Africa,L,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Nigeria,d3,NGA,159,Africa,LM,Trp,Africa,NGA,SSA,Western and Central Africa,Africa
Réunion,d4,REU,182,Africa,NotaNr,Trp,Africa,fra,fra,Eastern and Southern Africa,Africa
Rwanda,d5,RWA,184,Africa,L,Trp,Africa,rwa,SSA,Eastern and Southern Africa,Africa
Sao Tome and Principe,d6,STP,193,Africa,LM,Trp,Africa,xcf,SSA,Western and Central Africa,Africa
Senegal,d7,SEN,195,Africa,LM,Trp,Africa,SEN,SSA,Western and Central Africa,Africa
Sierra Leone,d8,SLE,197,Africa,L,Trp,Africa,xwf,SSA,Western and Central Africa,Africa
Somalia,d9,SOM,201,Africa,L,Trp,Africa,xec,SSA,Eastern and Southern Africa,Africa
South Africa,e0,ZAF,202,Africa,UM,Trp,Africa,ZAF,SSA,Eastern and Southern Africa,Africa
Sudan,e1,SDN,276,Africa,LM,Trp,Africa,xec,SSA,Eastern and Southern Africa,Africa
Swaziland,e2,SWZ,209,Africa,LM,Trp,Africa,xsc,SSA,Eastern and Southern Africa,Africa
"Tanzania, United Rep of",e3,TZA,240,Africa,L,Trp,Africa,TZA,SSA,Eastern and Southern Africa,Africa
Togo,e4,TGO,217,Africa,L,Trp,Africa,tgo,SSA,Western and Central Africa,Africa
Tunisia,e5,TUN,222,Africa,UM,SubTrp,Africa,TUN,MENA,Northern Africa,Africa
Uganda,e6,UGA,226,Africa,L,Trp,Africa,UGA,SSA,Eastern and Southern Africa,Africa
"Congo, Dem Republic of",e7,COD,250,Africa,L,Trp,Africa,xac,SSA,Western and Central Africa,Africa
Zambia,e8,ZMB,251,Africa,LM,Trp,Africa,ZMB,SSA,Eastern and Southern Africa,Africa
Zimbabwe,e9,ZWE,181,Africa,L,Trp,Africa,ZWE,SSA,Eastern and Southern Africa,Africa
Bahamas,f0,BHS,12,North America,H,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
Barbados,f1,BRB,14,North America,H,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
Belize,f2,BLZ,23,North America,UM,Trp,North America,xca,RestLatiAmer,Caribbean,Latin America
Canada,f3,CAN,33,North America,H,Bor,North America,CAN,can,North America,North America
Saint Lucia,f4,LCA,189,North America,UM,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
Costa Rica,f5,CRI,48,North America,UM,Trp,North America,CRI,RestLatiAmer,Central America,Latin America
Cuba,f6,CUB,49,North America,UM,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
Dominica,f7,DMA,55,North America,UM,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
Dominican Republic,f8,DOM,56,North America,UM,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
El Salvador,f9,SLV,60,North America,LM,Trp,North America,SLV,RestLatiAmer,Central America,Latin America
Guatemala,g0,GTM,89,North America,LM,Trp,North America,GTM,RestLatiAmer,Central America,Latin America
Haiti,g1,HTI,93,North America,L,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
Honduras,g2,HND,95,North America,LM,Trp,North America,HND,RestLatiAmer,Central America,Latin America
Jamaica,g3,JAM,109,North America,UM,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
Martinique,g4,MTQ,135,North America,NotaNr,Trp,North America,fra,fra,Caribbean,Latin America
Mexico,g5,MEX,138,North America,UM,SubTrp,North America,MEX,RestLatiAmer,Central America,Latin America
Netherlands Antilles,g6,ANT,151,North America,NotaNr,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
Nicaragua,g7,NIC,157,North America,LM,Trp,North America,NIC,RestLatiAmer,Central America,Latin America
Panama,g8,PAN,166,North America,UM,Trp,North America,PAN,RestLatiAmer,Central America,Latin America
Saint Vincent/Grenadines,g9,VCT,191,North America,UM,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
Trinidad and Tobago,h0,TTO,220,North America,H,Trp,North America,xcb,RestLatiAmer,Caribbean,Latin America
United States of America,h1,USA,231,North America,H,Temp,North America,USA,usa,North America,North America
Argentina,h2,ARG,9,South America,UM,SubTrp,South America,ARG,arg,South America,Latin America
Bolivia,h3,BOL,19,South America,LM,Trp,South America,BOL,RestLatiAmer,South America,Latin America
Brazil,h4,BRA,21,South America,UM,Trp,South America,BRA,bra,South America,Latin America
Chile,h5,CHL,40,South America,H,Temp,South America,CHL,RestLatiAmer,South America,Latin America
Colombia,h6,COL,44,South America,UM,Trp,South America,COL,RestLatiAmer,South America,Latin America
Ecuador,h7,ECU,58,South America,UM,Trp,South America,ECU,RestLatiAmer,South America,Latin America
French Guiana,h8,GUF,69,South America,NotaNr,Trp,South America,xsm,RestLatiAmer,South America,Latin America
Guyana,h9,GUY,91,South America,LM,Trp,South America,xsm,RestLatiAmer,South America,Latin America
Paraguay,i0,PRY,169,South America,LM,Trp,South America,PRY,RestLatiAmer,South America,Latin America
Peru,i1,PER,170,South America,UM,Trp,South America,PER,RestLatiAmer,South America,Latin America
Suriname,i2,SUR,207,South America,UM,Trp,South America,xsm,RestLatiAmer,South America,Latin America
Uruguay,i3,URY,234,South America,H,Trp,South America,URY,RestLatiAmer,South America,Latin America
"Venezuela, Boliv Rep of",i4,VEN,236,South America,UM,Trp,South America,ven,RestLatiAmer,South America,Latin America
Afghanistan,i5,AFG,2,Asia,L,SubTrp,Asia,xsa,RestAsia,South and Southeast Asia,Asia
Bahrain,i6,BHR,13,Asia,H,SubTrp,Asia,BHR,MENA,Western and Central Asia,Africa
Bangladesh,i7,BGD,16,Asia,L,Trp,Asia,BGD,RestAsia,South and Southeast Asia,Asia
Bhutan,i8,BTN,18,Asia,LM,Trp,Asia,xsa,RestAsia,South and Southeast Asia,Asia
Brunei Darussalam,i9,BRN,26,Asia,H,Trp,Asia,xse,RestAsia,South and Southeast Asia,Asia
Cambodia,j0,KHM,115,Asia,L,Trp,Asia,KHM,RestAsia,South and Southeast Asia,Asia
China,j1,CHN,351,Asia,UM,Temp,Asia,CHN,chn,East Asia,Asia
Cyprus,j2,CYP,50,Asia,H,SubTrp,Asia,CYP,RestEU,Western and Central Asia,Europe
Maldives,j3,MDV,134,Asia,UM,Trp,Asia,xsa,RestAsia,South and Southeast Asia,Asia
India,j4,IND,100,Asia,LM,Trp,Asia,IND,ind,South and Southeast Asia,Asia
Indonesia,j5,IDN,101,Asia,LM,Trp,Asia,IDN,RestAsia,South and Southeast Asia,Asia
"Iran, Islamic Rep of",j6,IRN,102,Asia,UM,SubTrp,Asia,IRN,MENA,Western and Central Asia,Africa
Iraq,j7,IRQ,103,Asia,UM,SubTrp,Asia,xws,MENA,Western and Central Asia,Africa
Israel,j8,ISR,105,Asia,H,SubTrp,Asia,ISR,MENA,Western and Central Asia,Africa
Japan,j9,JPN,110,Asia,H,SubTrp,Asia,JPN,jpn,East Asia,Asia
Jordan,k0,JOR,112,Asia,UM,SubTrp,Asia,xws,MENA,Western and Central Asia,Africa
"Korea, Dem People's Rep",k1,PRK,116,Asia,H,Temp,Asia,xea,RestAsia,East Asia,Asia
"Korea, Republic of",k2,KOR,117,Asia,H,Temp,Asia,KOR,kor,East Asia,Asia
Kuwait,k3,KWT,118,Asia,H,SubTrp,Asia,KWT,MENA,Western and Central Asia,Africa
Laos,k4,LAO,120,Asia,LM,Trp,Asia,LAO,RestAsia,South and Southeast Asia,Asia
Lebanon,k5,LBN,121,Asia,UM,SubTrp,Asia,xws,MENA,Western and Central Asia,Africa
Timor-Leste,k6,TLS,176,Asia,LM,Trp,Asia,xse,RestAsia,South and Southeast Asia,Asia
Malaysia,k7,MYS,131,Asia,UM,Trp,Asia,MYS,RestAsia,South and Southeast Asia,Asia
Mongolia,k8,MNG,141,Asia,LM,Temp,Asia,MNG,RestAsia,East Asia,Asia
Myanmar,k9,MMR,28,Asia,L,Trp,Asia,xse,RestAsia,South and Southeast Asia,Asia
Nepal,l0,NPL,149,Asia,L,SubTrp,Asia,NPL,RestAsia,South and Southeast Asia,Asia
Oman,l1,OMN,221,Asia,H,Trp,Asia,OMN,MENA,Western and Central Asia,Africa
Pakistan,l2,PAK,165,Asia,LM,SubTrp,Asia,PAK,RestAsia,South and Southeast Asia,Asia
Philippines,l3,PHL,171,Asia,LM,Trp,Asia,PHL,RestAsia,South and Southeast Asia,Asia
Qatar,l4,QAT,179,Asia,H,SubTrp,Asia,QAT,MENA,Western and Central Asia,Africa
Saudi Arabia,l5,SAU,194,Asia,H,Trp,Asia,SAU,MENA,Western and Central Asia,Africa
Singapore,l6,SGP,200,Asia,H,Trp,Asia,SGP,RestAsia,South and Southeast Asia,Asia
Sri Lanka,l7,LKA,38,Asia,LM,Trp,Asia,LKA,RestAsia,South and Southeast Asia,Asia
Syrian Arab Republic,l8,SYR,212,Asia,LM,SubTrp,Asia,xws,MENA,Western and Central Asia,Africa
Thailand,l9,THA,216,Asia,UM,Trp,Asia,THA,RestAsia,South and Southeast Asia,Asia
Turkey,m0,TUR,223,Asia,UM,SubTrp,Asia,TUR,RestofWorld,Western and Central Asia,Africa
United Arab Emirates,m1,ARE,225,Asia,H,Trp,Asia,ARE,MENA,Western and Central Asia,Africa
Viet Nam,m2,VNM,237,Asia,LM,Trp,Asia,VNM,RestAsia,South and Southeast Asia,Asia
Yemen,m3,YEM,249,Asia,LM,Trp,Asia,xws,MENA,Western and Central Asia,Africa
Australia,m4,AUS,10,Oceania,H,SubTrp,Oceania,AUS,aus,Oceania,Asia
Cook Islands,m5,COK,47,Oceania,NotaNr,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Fiji Islands,m6,FJI,66,Oceania,UM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
French Polynesia,m7,PYF,70,Oceania,H,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
New Caledonia,m8,NCL,153,Oceania,H,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
New Zealand,m9,NZL,156,Oceania,H,Temp,Oceania,NZL,nzl,Oceania,Asia
Papua New Guinea,n0,PNG,168,Oceania,LM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Samoa,n1,WSM,244,Oceania,LM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Solomon Islands,n2,SLB,25,Oceania,LM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Tonga,n3,TON,219,Oceania,UM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Vanuatu,n4,VUT,155,Oceania,LM,Trp,Oceania,xoc,RestofWorld,Oceania,Asia
Albania,n5,ALB,3,Rest of Europe,UM,SubTrp,Rest of Europe,ALB,RestofWorld,Europe,Europe
Austria,n6,AUT,11,EU27,H,Temp,EU27,AUT,RestEU,Europe,Europe
Belgium,n7,BEL,255,EU27,H,Temp,EU27,BEL,RestEU,Europe,Europe
Bosnia and Herzegovina,n8,BIH,80,Rest of Europe,UM,Temp,Rest of Europe,xer,RestofWorld,Europe,Europe
Bulgaria,n9,BGR,27,EU27,UM,Temp,EU27,BGR,RestEU,Europe,Europe
Croatia,o0,HRV,98,EU27,H,Temp,EU27,HRV,RestofWorld,Europe,Europe
Czech Republic,o1,CZE,167,EU27,H,Temp,EU27,CZE,RestEU,Europe,Europe
Denmark,o2,DNK,54,EU27,H,Temp,EU27,DNK,RestEU,Europe,Europe
Finland,o3,FIN,67,EU27,H,Bor,EU27,FIN,RestEU,Europe,Europe
France,o4,FRA,68,EU27,H,Temp,EU27,FRA,fra,Europe,Europe
Germany,o5,DEU,79,EU27,H,Temp,EU27,DEU,deu,Europe,Europe
Greece,o6,GRC,84,EU27,H,SubTrp,EU27,GRC,RestEU,Europe,Europe
Hungary,o7,HUN,97,EU27,UM,Temp,EU27,HUN,RestEU,Europe,Europe
Luxembourg,o8,LUX,256,EU27,H,Temp,EU27,LUX,RestEU,Europe,Europe
Ireland,o9,IRL,104,EU27,H,Temp,EU27,IRL,RestEU,Europe,Europe
Italy,p0,ITA,106,EU27,H,SubTrp,EU27,ITA,RestEU,Europe,Europe
"Macedonia,The Fmr Yug Rp",p1,MKD,154,Rest of Europe,UM,Temp,Rest of Europe,xer,RestofWorld,Europe,Europe
Montenegro,p2,MNE,273,Rest of Europe,UM,SubTrp,Rest of Europe,xer,RestofWorld,Europe,Europe
Netherlands,p3,NLD,150,EU27,H,Temp,EU27,NLD,RestEU,Europe,Europe
Norway,p4,NOR,162,Rest of Europe,H,Bor,Rest of Europe,NOR,RestofWorld,Europe,Europe
Poland,p5,POL,173,EU27,H,Temp,EU27,POL,pol,Europe,Europe
Portugal,p6,PRT,174,EU27,H,SubTrp,EU27,PRT,RestEU,Europe,Europe
Romania,p7,ROU,183,EU27,UM,Temp,EU27,ROU,RestEU,Europe,Europe
Slovakia,p8,SVK,199,EU27,H,Temp,EU27,SVK,RestEU,Europe,Europe
Slovenia,p9,SVN,198,EU27,H,Temp,EU27,SVN,RestEU,Europe,Europe
Spain,q0,ESP,203,EU27,H,SubTrp,EU27,ESP,RestEU,Europe,Europe
Sweden,q1,SWE,210,EU27,H,Bor,EU27,SWE,RestEU,Europe,Europe
Switzerland,q2,CHE,211,Rest of Europe,H,Temp,Rest of Europe,CHE,RestofWorld,Europe,Europe
United Kingdom,q3,GBR,229,Rest of Europe,H,Temp,Rest of Europe,GBR,uk,Europe,Europe
Serbia,q4,SRB,272,Rest of Europe,UM,Temp,Rest of Europe,xer,RestofWorld,Europe,Europe
Armenia,q5,ARM,1,Asia,LM,SubTrp,Asia,ARM,RestCIS,Western and Central Asia,Former Soviet Union
"Azerbaijan, Republic of",q6,AZE,52,Asia,UM,Temp,Asia,AZE,RestCIS,Western and Central Asia,Former Soviet Union
Belarus,q7,BLR,57,Rest of Europe,UM,Temp,Rest of Europe,BLR,RestCIS,Europe,Europe
Estonia,q8,EST,63,EU27,H,Temp,EU27,EST,RestEU,Europe,Europe
Georgia,q9,GEO,73,Asia,LM,SubTrp,Asia,GEO,RestofWorld,Western and Central Asia,Former Soviet Union
Kazakhstan,r0,KAZ,108,Asia,UM,Temp,Asia,KAZ,RestCIS,Western and Central Asia,Former Soviet Union
Kyrgyzstan,r1,KGZ,113,Asia,LM,Temp,Asia,KGZ,RestCIS,Western and Central Asia,Former Soviet Union
Latvia,r2,LVA,119,EU27,H,Temp,EU27,LVA,RestEU,Europe,Europe
Lithuania,r3,LTU,126,EU27,H,Temp,EU27,LTU,RestEU,Europe,Europe
"Moldova, Republic of",r4,MDA,146,Rest of Europe,LM,Temp,Rest of Europe,xee,RestCIS,Europe,Europe
Russian Federation,r5,RUS,185,Asia,H,Bor,Asia,RUS,rus,Russian Federation,Former Soviet Union
Tajikistan,r6,TJK,208,Asia,L,Temp,Asia,xsu,RestCIS,Western and Central Asia,Former Soviet Union
Turkmenistan,r7,TKM,213,Asia,UM,Temp,Asia,xsu,RestCIS,Western and Central Asia,Former Soviet Union
Ukraine,r8,UKR,230,Rest of Europe,LM,Temp,Rest of Europe,UKR,ukr,Europe,Europe
Uzbekistan,r9,UZB,235,Asia,LM,Temp,Asia,xsu,RestCIS,Western and Central Asia,Former Soviet Union
Rest of World,zy,WRL,0,Rest of World,M,All,Rest of World,WRL,WRL,World,Rest of World
